Sequence_ID	GC_Content	A_Content	Start_Codons
'Seq_5.1'	'0.36'	'0.42'	'1'
'Seq_6.2'	'0.485'	'0.3'	'3'
'Seq_1.3'	'0.4'	'0.3167'	'4'
'Seq_1.4'	'0.41'	'0.3125'	'4'
'Seq_7.2'	'0.45'	'0.33'	'5'
'Seq_4.1'	'0.5'	'0.28'	'1'
'Seq_6.1'	'0.46'	'0.3'	'1'
'Seq_5.2'	'0.41'	'0.31'	'3'
'Seq_3.4'	'0.44'	'0.3025'	'3'
'Seq_2.3'	'0.3933'	'0.3633'	'4'
'Seq_9.4'	'0.39'	'0.3225'	'8'
'Seq_8.3'	'0.4167'	'0.3167'	'3'
'Seq_9.3'	'0.4433'	'0.3067'	'2'
'Seq_8.4'	'0.44'	'0.3'	'6'
'Seq_3.3'	'0.46'	'0.2933'	'2'
'Seq_2.4'	'0.4175'	'0.345'	'4'
'Seq_4.2'	'0.46'	'0.32'	'3'
'Seq_7.1'	'0.44'	'0.34'	'2'
'Seq_3.1'	'0.37'	'0.29'	'1'
'Seq_7.3'	'0.4367'	'0.3333'	'5'
'Seq_6.4'	'0.4725'	'0.2775'	'4'
'Seq_9.1'	'0.5'	'0.3'	'1'
'Seq_8.1'	'0.4'	'0.42'	'1'
'Seq_7.4'	'0.4275'	'0.3325'	'6'
'Seq_6.3'	'0.4767'	'0.3'	'3'
'Seq_1.2'	'0.4'	'0.34'	'3'
'Seq_2.1'	'0.39'	'0.35'	'1'
'Seq_3.2'	'0.46'	'0.285'	'1'
'Seq_4.3'	'0.4739'	'0.3209'	'5'
'Seq_5.4'	'0.3975'	'0.31'	'5'
'Seq_9.2'	'0.48'	'0.275'	'2'
'Seq_8.2'	'0.37'	'0.38'	'2'
'Seq_4.4'	'0.4592'	'0.3043'	'7'
'Seq_5.3'	'0.4033'	'0.3133'	'3'
'Seq_2.2'	'0.405'	'0.39'	'3'
'Seq_1.1'	'0.36'	'0.36'	'2'
